batter,season,oaa
600869,2020,3
592192,2020,1
429664,2020,2
666185,2020,0
572761,2020,2
592206,2020,-4
650489,2020,-3
656305,2020,1
656308,2020,-4
596847,2020,-3
624424,2020,-3
621043,2020,4
543063,2020,8
641487,2020,6
630105,2020,6
605204,2020,-6
657557,2020,-4
592261,2020,0
646240,2020,-4
543105,2020,-3
572816,2020,-1
518626,2020,1
641531,2020,-1
643289,2020,4
594807,2020,1
650490,2020,-3
594809,2020,-2
669242,2020,3
500871,2020,1
669289,2020,3
664058,2020,-1
527038,2020,2
596748,2020,-1
624428,2020,6
640449,2020,1
453943,2020,-1
518692,2020,1
658069,2020,5
608336,2020,3
520471,2020,-5
671277,2020,-7
541645,2020,1
458731,2020,0
665926,2020,7
502671,2020,4
503556,2020,4
570481,2020,2
592348,2020,6
571718,2020,-2
460086,2020,-1
544369,2020,-8
545341,2020,1
663757,2020,7
543257,2020,3
665489,2020,-2
666971,2020,-1
493329,2020,4
641658,2020,2
664023,2020,1
547180,2020,0
663647,2020,4
669720,2020,1
514917,2020,3
571771,2020,1
606192,2020,-2
518792,2020,1
543305,2020,-4
656541,2020,0
669374,2020,-2
663538,2020,7
656555,2020,-5
543333,2020,-2
542255,2020,-1
650391,2020,-3
643393,2020,1
596146,2020,1
666198,2020,0
595281,2020,5
643396,2020,5
664068,2020,-4
543401,2020,-4
600303,2020,-4
657656,2020,2
518934,2020,-3
641786,2020,4
596019,2020,7
643418,2020,-3
446334,2020,5
670032,2020,7
664040,2020,0
592518,2020,4
663611,2020,1
622534,2020,2
455976,2020,1
606466,2020,0
516782,2020,2
608577,2020,1
641857,2020,0
643446,2020,0
664901,2020,0
593160,2020,3
660162,2020,-1
609275,2020,3
664238,2020,-1
519058,2020,-3
656775,2020,5
571970,2020,-5
502517,2020,-3
571976,2020,1
571980,2020,-5
621028,2020,-3
607043,2020,-2
641933,2020,4
596059,2020,1
621566,2020,0
605412,2020,-1
670623,2020,-3
444482,2020,1
606299,2020,3
607680,2020,-2
572039,2020,-2
593871,2020,0
572041,2020,-2
595777,2020,-1
608070,2020,-2
502210,2020,-5
543685,2020,1
592669,2020,0
650859,2020,-3
622682,2020,1
668804,2020,1
663586,2020,-5
519203,2020,3
673357,2020,5
645302,2020,1
500743,2020,3
642708,2020,2
592696,2020,0
547004,2020,2
467793,2020,2
623993,2020,1
593934,2020,-1
570731,2020,5
656941,2020,-2
608369,2020,1
572122,2020,3
516416,2020,5
543760,2020,-11
543768,2020,0
592743,2020,-1
519299,2020,1
669256,2020,-7
456781,2020,-8
665742,2020,-2
543807,2020,2
621466,2020,0
596115,2020,0
553993,2020,1
621020,2020,8
606132,2020,0
665487,2020,6
643565,2020,1
665750,2020,0
621035,2020,3
660731,2020,-2
650402,2020,-2
545361,2020,-1
663656,2020,5
457759,2020,1
607208,2020,-3
457708,2020,-2
570482,2020,1
649966,2020,4
642162,2020,-5
623205,2020,1
657077,2020,2
542340,2020,-11
572228,2020,-3
458015,2020,-5
642180,2020,6
572233,2020,0
621563,2020,2
657108,2020,5
543939,2020,0
573262,2020,-5
592885,2020,-2
547989,2021,1
642715,2021,-7
542583,2021,2
605113,2021,18
593643,2021,-1
645277,2021,2
642727,2021,8
624413,2021,3
514888,2021,2
605119,2021,1
641313,2021,1
462101,2021,5
571448,2021,10
668227,2021,1
650333,2021,-5
624414,2021,-1
668731,2021,-1
664056,2021,14
605137,2021,3
641355,2021,1
474832,2021,2
643217,2021,0
542932,2021,0
605141,2021,-1
666182,2021,-6
624415,2021,-7
453568,2021,-9
593428,2021,-11
664761,2021,-3
623520,2021,0
598265,2021,3
488726,2021,-2
608324,2021,0
664913,2021,4
592178,2021,-9
621439,2021,7
595879,2021,3
452678,2021,-2
456715,2021,5
600869,2021,0
592192,2021,1
666185,2021,-4
592206,2021,-7
605612,2021,-12
516770,2021,0
650489,2021,0
644374,2021,4
656305,2021,17
665862,2021,-3
596847,2021,0
624424,2021,1
621043,2021,10
543063,2021,16
641487,2021,0
543068,2021,0
630105,2021,1
518586,2021,3
666915,2021,-7
602074,2021,4
657557,2021,4
646240,2021,-13
518626,2021,1
641531,2021,-16
643289,2021,3
622110,2021,-4
621453,2021,4
594807,2021,4
649557,2021,8
656371,2021,-7
650490,2021,-3
669242,2021,14
444876,2021,-2
500871,2021,0
669289,2021,5
571657,2021,5
664058,2021,8
527038,2021,1
664034,2021,-3
596748,2021,-3
677551,2021,-5
624428,2021,1
518692,2021,3
658069,2021,0
608336,2021,5
520471,2021,-4
592325,2021,-11
671277,2021,-12
666969,2021,8
541645,2021,-2
544725,2021,-2
458731,2021,0
665926,2021,3
502671,2021,7
503556,2021,3
570481,2021,3
592348,2021,4
594838,2021,-5
544369,2021,-18
545341,2021,3
663757,2021,5
543257,2021,-3
665489,2021,-4
666971,2021,-7
493329,2021,-2
642721,2021,1
641658,2021,7
571745,2021,-8
664023,2021,-6
547180,2021,-7
543281,2021,5
663647,2021,12
669720,2021,0
628338,2021,6
514917,2021,-1
571771,2021,5
606192,2021,0
546318,2021,5
518792,2021,4
663538,2021,11
571788,2021,1
656555,2021,-2
543333,2021,1
578428,2021,1
663697,2021,-7
592450,2021,0
672284,2021,-2
643393,2021,2
596146,2021,8
666198,2021,-13
595281,2021,12
673490,2021,3
643396,2021,-6
600303,2021,1
501571,2021,1
657656,2021,-1
518934,2021,1
596019,2021,21
446334,2021,2
